DateTime,RawCount,Amount,Accumulated,id
03-22-2018 12:28 PM,759,0.01,7.59,323
03-22-2018 12:00 PM,758,0.01,7.58,323
03-22-2018 11:29 AM,757,0.01,7.57,323
03-22-2018 11:26 AM,756,0.01,7.56,323
03-22-2018 11:25 AM,755,0.01,7.55,323
03-22-2018 11:24 AM,754,0.01,7.54,323
03-22-2018 11:00 AM,753,0.00,7.53,323
03-22-2018 10:58 AM,753,0.01,7.53,323
03-22-2018 10:51 AM,752,0.07,7.52,323
03-22-2018 10:24 AM,745,0.02,7.45,323
03-22-2018 10:20 AM,743,0.01,7.43,323
03-22-2018 10:19 AM,742,0.01,7.42,323
03-22-2018 10:17 AM,741,0.01,7.41,323
03-22-2018 10:15 AM,740,0.04,7.40,323
03-22-2018 10:11 AM,736,0.03,7.36,323
03-22-2018 10:08 AM,733,0.01,7.33,323
03-22-2018 10:07 AM,732,0.01,7.32,323
03-22-2018 10:07 AM,731,0.01,7.31,323
03-22-2018 10:06 AM,730,0.01,7.30,323
03-22-2018 10:05 AM,729,0.01,7.29,323
03-22-2018 10:05 AM,728,0.01,7.28,323
03-22-2018 10:04 AM,727,0.03,7.27,323
03-22-2018 10:02 AM,724,0.01,7.24,323
03-22-2018 10:01 AM,723,0.01,7.23,323
03-22-2018 10:00 AM,722,0.01,7.22,323
03-22-2018 09:59 AM,721,0.01,7.21,323
03-22-2018 09:59 AM,720,0.02,7.20,323
03-22-2018 09:56 AM,718,0.01,7.18,323
03-22-2018 09:55 AM,717,0.01,7.17,323
03-22-2018 09:53 AM,716,0.01,7.16,323
03-22-2018 09:52 AM,715,0.01,7.15,323
03-22-2018 09:51 AM,714,0.01,7.14,323
03-22-2018 09:47 AM,713,0.01,7.13,323
03-22-2018 09:42 AM,712,0.02,7.12,323
03-22-2018 09:38 AM,710,0.10,7.10,323
03-22-2018 08:12 AM,700,0.02,7.00,323
03-22-2018 07:57 AM,698,0.03,6.98,323
03-22-2018 07:26 AM,695,0.01,6.95,323
03-22-2018 07:17 AM,694,0.02,6.94,323
03-22-2018 05:42 AM,692,0.01,6.92,323
03-22-2018 05:18 AM,691,0.01,6.91,323
03-22-2018 05:00 AM,690,0.00,6.90,323
03-22-2018 04:36 AM,690,0.01,6.90,323
03-22-2018 04:00 AM,689,0.00,6.89,323
03-22-2018 03:00 AM,689,0.00,6.89,323
03-22-2018 02:00 AM,689,0.00,6.89,323
03-22-2018 01:00 AM,689,0.00,6.89,323
03-22-2018 12:00 AM,689,0.00,6.89,323
03-21-2018 11:00 PM,689,0.00,6.89,323
03-21-2018 10:00 PM,689,0.00,6.89,323
03-21-2018 09:00 PM,689,0.00,6.89,323
03-21-2018 08:00 PM,689,0.00,6.89,323
03-21-2018 07:00 PM,689,0.00,6.89,323
03-21-2018 06:00 PM,689,0.00,6.89,323
03-21-2018 05:00 PM,689,0.00,6.89,323
03-21-2018 04:17 PM,689,0.01,6.89,323
03-21-2018 04:00 PM,688,0.00,6.88,323
03-21-2018 03:48 PM,688,0.01,6.88,323
03-21-2018 03:21 PM,687,0.01,6.87,323
03-21-2018 03:00 PM,686,0.00,6.86,323
03-21-2018 02:44 PM,686,0.01,6.86,323
03-21-2018 02:37 PM,685,0.01,6.85,323
03-21-2018 02:28 PM,684,0.01,6.84,323
03-21-2018 02:20 PM,683,0.01,6.83,323
03-21-2018 02:07 PM,682,0.01,6.82,323
03-21-2018 02:00 PM,681,0.00,6.81,323
03-21-2018 01:46 PM,681,0.01,6.81,323
03-21-2018 01:42 PM,680,0.01,6.80,323
03-21-2018 01:40 PM,679,0.01,6.79,323
03-21-2018 01:37 PM,678,0.01,6.78,323
03-21-2018 01:35 PM,677,0.01,6.77,323
03-21-2018 01:34 PM,676,0.01,6.76,323
03-21-2018 01:32 PM,675,0.01,6.75,323
03-21-2018 01:12 PM,674,0.01,6.74,323
03-21-2018 01:00 PM,673,0.00,6.73,323
03-21-2018 12:56 PM,673,0.01,6.73,323
03-21-2018 12:54 PM,672,0.01,6.72,323
03-21-2018 12:52 PM,671,0.01,6.71,323
03-21-2018 12:51 PM,670,0.01,6.70,323
03-21-2018 12:50 PM,669,0.01,6.69,323
03-21-2018 12:48 PM,668,0.01,6.68,323
